,name,mileage,year,gearbox,transmission,horsepower,fuel,price
71,Mercedes-Benz Classe E coupé AMG,56 000 km,2018,Automatique,Propulsion,10 cv,Hybride,118000.0
72,Mercedes-Benz Classe S Limousine,155 000 km,2008,Automatique,Intégrale,19 cv,Essence,62000.0
73,Peugeot 3008 GT-Line,139 000 km,2020,Automatique,Traction,6 cv,Essence,66000.0
74,Mercedes-Benz Classe C coupé AMG,115 000 km,2019,Automatique,Traction,10 cv,Essence,132000.0
75,BMW Série 5,250 000 km,2017,Automatique,Traction,9 cv,Essence,66000.0
76,Porsche Panamera,78 000 km,2010,Automatique,Traction,21 cv,Essence,129000.0
77,Jaguar XF R-Sport,110 000 km,2022,Automatique,Traction,10 cv,Hybride,125000.0
78,Mercedes-Benz Classe C AMG,157 000 km,2019,Automatique,Propulsion,8 cv,Essence,122800.0
79,Porsche Cayenne,195 000 km,2012,Automatique,Propulsion,21 cv,Essence,106000.0
80,Land Rover Range Rover Evoque R-Dynamic HSE,165 000 km,2017,Automatique,Intégrale,10 cv,Diesel,87000.0
81,Mercedes-Benz Classe S Executive,165 000 km,2010,Automatique,Traction,18 cv,Essence,99000.0
82,Toyota C-HR,65 000 km,2023,Automatique,Traction,8 cv,Hybride,92000.0
83,Land Rover Range Rover Evoque R-Dynamic,80 000 km,2020,Automatique,Intégrale,13 cv,Essence,138000.0
84,Volkswagen Polo Trendline,133 000 km,2012,Manuelle,Traction,5 cv,Diesel,23500.0
85,Volkswagen Golf 7 Access,127 000 km,2020,Automatique,Traction,6 cv,Essence,63000.0
86,Citroën C5,370 000 km,2012,Manuelle,Traction,6 cv,Diesel,22000.0
87,Volkswagen Tiguan R-Line,69 000 km,2022,Automatique,Propulsion,8 cv,Hybride,130000.0
88,Mahindra KUV 100 K6+,70 000 km,2018,Manuelle,Traction,5 cv,Essence,28000.0
89,Audi A5 Sportback Design Luxe Plus,200 000 km,2020,Automatique,Traction,8 cv,Essence,82000.0
90,KIA Sorento,200 000 km,2010,Manuelle,Intégrale,12 cv,Diesel,44000.0
91,Dacia Logan MCV,90 000 km,2021,Manuelle,Traction,5 cv,Essence,40000.0
92,Nissan Juke,217 000 km,2015,Automatique,Traction,7 cv,Essence,33000.0
93,Chevrolet Sonic,91 000 km,2021,Manuelle,Traction,5 cv,Essence,41000.0
94,Suzuki Dzire GL,100 000 km,2021,Manuelle,Traction,5 cv,Essence,41500.0
95,Jaguar XF Pure,107 000 km,2016,Automatique,Propulsion,15 cv,Essence,82000.0
96,Porsche Cayenne,114 000 km,2016,Automatique,Intégrale,15 cv,Diesel,185000.0
97,Land Rover Range Rover Sport Autobiography,70 000 km,2013,Automatique,Intégrale,15 cv,Diesel,118000.0
98,KIA Rio 5p Prestige,75 000 km,2023,Manuelle,Traction,5 cv,Essence,58500.0
99,GWM Haval H6,120 000 km,2023,Automatique,Traction,8 cv,Essence,82000.0
100,Volkswagen Polo Prestige,95 000 km,2022,Manuelle,Traction,4 cv,Essence,56000.0
101,Hyundai Tucson High Grade,113 000 km,2021,Automatique,Traction,7 cv,Hybride,95000.0
102,Jaguar XF Pure,46 000 km,2017,Automatique,Propulsion,15 cv,Essence,98000.0
103,BMW Série 1 Urban Line,140 000 km,2017,Automatique,Propulsion,7 cv,Essence,60000.0
104,Mercedes-Benz Classe E AMG,200 000 km,2014,Automatique,Propulsion,10 cv,Essence,69000.0
105,Land Rover Range Rover Sport Autobiography,105 000 km,2020,Automatique,Intégrale,19 cv,Hybride,185000.0
106,Seat Ateca FR,40 000 km,2024,Automatique,Traction,8 cv,Essence,111000.0
107,Mercedes-Benz GLE,80 000 km,2022,Automatique,Intégrale,15 cv,Diesel,255000.0
108,Porsche 718 Cayman,18 000 km,2022,Automatique,Propulsion,19 cv,Essence,280000.0
109,Porsche Cayenne E-Hybrid,43 000 km,2019,Automatique,Intégrale,21 cv,Hybride,215000.0
110,Mercedes-Benz CLS,66 000 km,2015,Automatique,Traction,11 cv,Diesel,127000.0
111,Toyota Yaris Cross Hybride Bi-ton,20 000 km,2024,Automatique,Traction,5 cv,Hybride,104000.0
112,Volkswagen Touareg Pack Luxe,220 000 km,2015,Automatique,Intégrale,12 cv,Diesel,99000.0
113,KIA Cee'd hybride rechargable,90 000 km,2022,Automatique,Propulsion,5 cv,Essence,105000.0
114,Cupra Formentor Exclusive,100 000 km,2023,Automatique,Traction,11 cv,Essence,99000.0
115,Peugeot 3008 Premium,140 000 km,2021,Automatique,Traction,7 cv,Diesel,85500.0
116,Toyota Corolla Break,135 000 km,2020,Automatique,Traction,5 cv,Hybride,79000.0
117,Land Rover Range Rover Evoque Prestige,120 000 km,2014,Automatique,Intégrale,9 cv,Diesel,79000.0
118,GWM Haval H6,24 000 km,2020,Automatique,Traction,12 cv,Essence,79000.0
119,Mercedes-Benz Classe C AMG,347 000 km,2012,Automatique,Propulsion,9 cv,Diesel,48000.0
120,Volkswagen Golf 8 Drive,143 000 km,2022,Manuelle,Traction,6 cv,Essence,78000.0
121,Audi Q3 Ambiente,129 000 km,2018,Automatique,Traction,8 cv,Essence,68000.0
122,Seat Arona FR,56 000 km,2022,Automatique,Traction,6 cv,Essence,75000.0
123,BMW X2 Business Line,56 000 km,2022,Automatique,Traction,7 cv,Essence,100000.0
124,BMW Série 3 Access Plus Luxury Line,149 000 km,2013,Automatique,Propulsion,7 cv,Essence,49500.0
125,Audi A4 Design,377 000 km,2016,Manuelle,Traction,8 cv,Essence,53500.0
126,Skoda Octavia Ambition,167 000 km,2016,Automatique,Traction,8 cv,Essence,48000.0
127,Mercedes-Benz GLE Coupé AMG Premium Plus,35 000 km,2022,Automatique,Intégrale,12 cv,Hybride,275000.0
128,Mercedes-Benz Classe E AMG,68 000 km,2021,Automatique,Intégrale,12 cv,Hybride,177000.0
129,Dacia Dokker Van,199 000 km,2020,Manuelle,Traction,6 cv,Diesel,32000.0
130,BMW Série 1 Access,216 000 km,2013,Manuelle,Propulsion,7 cv,Essence,43000.0
131,BMW Série 3 Access,266 000 km,2010,Manuelle,Traction,7 cv,Essence,37000.0
132,BMW Série 3 coupé Confort,222 000 km,2009,Manuelle,Propulsion,14 cv,Essence,55000.0
133,Chery Tiggo 7 Pro,80 000 km,2021,Automatique,Traction,9 cv,Essence,66000.0
134,Mercedes-Benz Classe C Avantgarde,288 000 km,2008,Automatique,Propulsion,11 cv,Essence,46900.0
135,Chery Tiggo 4 Premium,91 000 km,2020,Automatique,Traction,9 cv,Essence,47000.0
136,Mercedes-Benz GLC AMG,102 000 km,2022,Automatique,Intégrale,11 cv,Hybride,170000.0
137,Volkswagen Golf 7 Access,202 000 km,2017,Manuelle,Traction,6 cv,Essence,58000.0
138,BMW Série 5 Luxury Line,105 000 km,2022,Automatique,Propulsion,10 cv,Hybride,169500.0
139,Lancia Ypsilon,133 000 km,2011,Manuelle,Traction,4 cv,Essence,27500.0
140,Ssangyong Stavic,352 000 km,2017,Automatique,Traction,10 cv,Essence,70000.0
141,Alfa Romeo Giulietta,99 000 km,2021,Manuelle,Traction,7 cv,Essence,43000.0
142,Volkswagen Tiguan R-Line,68 000 km,2022,Automatique,Traction,8 cv,Hybride,145000.0
143,GWM M4,79 000 km,2021,Manuelle,Traction,6 cv,Essence,37900.0
144,Fiat 500X Pop Star,99 000 km,2018,Automatique,Traction,7 cv,Essence,45000.0
145,Audi Q5 S-line,81 000 km,2023,Automatique,Intégrale,16 cv,Hybride,165000.0
146,Isuzu D-Max Double Cabine V-Cross,275 000 km,2021,Manuelle,Traction,8 cv,Diesel,90000.0
147,Dongfeng Shine,3 000 km,2026,Manuelle,Traction,6 cv,Essence,63000.0
148,Volkswagen Golf 8 GTE,96 000 km,2022,Automatique,Traction,8 cv,Hybride,105000.0
149,Hyundai i30 Fastback,23 000 km,2023,Automatique,Traction,7 cv,Essence,85000.0
150,GWM Haval Jolion,126 000 km,2021,Automatique,Traction,9 cv,Essence,66000.0
151,Mercedes-Benz Classe C Avantgarde,70 000 km,2022,Automatique,Propulsion,9 cv,Hybride,
152,BMW Série 3 Confort Luxury Line,154 000 km,2015,Automatique,Propulsion,7 cv,Essence,60000.0
153,BMW Série 3 Access,229 000 km,2010,Manuelle,Traction,7 cv,Essence,37000.0
154,Renault Megane,248 000 km,2014,Automatique,Traction,7 cv,Essence,34000.0
155,Mercedes-Benz Classe C coupé AMG,257 000 km,2012,Automatique,Propulsion,9 cv,Essence,58900.0
156,Peugeot 308 Active,443 000 km,2013,Automatique,Traction,5 cv,Diesel,24000.0
157,Mercedes-Benz Classe C AMG,64 000 km,2023,Automatique,Propulsion,9 cv,Hybride,160000.0
158,Smart ForFour passion,89 000 km,2016,Manuelle,Propulsion,4 cv,Essence,26500.0
159,Audi A5 Avant S-Line PHEV,3 000 km,2026,Automatique,Intégrale,12 cv,Hybride,199000.0
160,KIA Sportage GT-Line,145 000 km,2019,Automatique,Traction,7 cv,Diesel,85000.0
161,Seat Ateca Xperience,99 000 km,2023,Automatique,Traction,8 cv,Essence,95000.0
162,MG GT,86 000 km,2023,Automatique,Traction,9 cv,Essence,65000.0
163,Audi A1,238 000 km,2011,Manuelle,Traction,5 cv,Essence,33500.0
164,Volkswagen Golf 8 UNITED,161 000 km,2021,Manuelle,Traction,7 cv,Essence,84000.0
165,Peugeot 208 Active,68 000 km,2022,Manuelle,Traction,5 cv,Essence,38900.0
166,Suzuki Swift GL,103 000 km,2022,Manuelle,Traction,5 cv,Essence,41500.0
167,Mercedes-Benz Classe C Avantgarde,361 000 km,2009,Automatique,Propulsion,9 cv,Essence,38000.0
168,Geely GX3 Pro,111 000 km,2024,Automatique,Traction,5 cv,Essence,53000.0
169,BMW Série 4 Coupé Luxury Line,146 000 km,2019,Automatique,Propulsion,7 cv,Essence,78900.0
170,Toyota C-HR,200 000 km,2018,Automatique,Traction,6 cv,Essence,53500.0
171,KIA Rio 5p SX,110 000 km,2020,Manuelle,Traction,5 cv,Essence,50000.0
172,KIA Picanto LX,95 000 km,2023,Manuelle,Traction,5 cv,Essence,42900.0
173,Volkswagen Passat CC 3,225 000 km,2012,Automatique,Traction,9 cv,Essence,42500.0
174,Mitsubishi ASX,189 000 km,2012,Manuelle,Traction,9 cv,Essence,37500.0
175,Mercedes-Benz Classe C AMG,93 000 km,2020,Automatique,Propulsion,7 cv,Essence,108000.0
176,Fiat 500X Pop Star,119 000 km,2020,Manuelle,Traction,6 cv,Essence,54900.0
177,Volkswagen Golf 7 R-Line,237 000 km,2015,Manuelle,Traction,5 cv,Essence,63000.0
178,Mercedes-Benz CLA AMG,89 000 km,2022,Automatique,Traction,8 cv,Hybride,119000.0
179,Peugeot 208 Populaire,116 000 km,2019,Manuelle,Traction,4 cv,Essence,29500.0
180,GWM Haval Jolion,86 000 km,2022,Automatique,Traction,9 cv,Essence,74500.0
181,BMW Série 1 Sport Line,217 000 km,2013,Automatique,Propulsion,7 cv,Essence,49500.0
182,Renault Megane Sedan,210 000 km,2019,Manuelle,Traction,7 cv,Essence,39900.0
183,Fiat Fiorino,101 000 km,2023,Manuelle,Traction,5 cv,Diesel,39000.0
184,Alfa Romeo Giulietta Plus,233 000 km,2011,Manuelle,Traction,5 cv,Diesel,32000.0
185,BMW Série 5 Business Line,239 000 km,2012,Automatique,Propulsion,10 cv,Essence,57000.0
186,Fiat Fiorino,70 000 km,2024,Manuelle,Traction,5 cv,Diesel,41500.0
187,Ford Fusion SE,80 000 km,2021,Automatique,Traction,9 cv,Essence,58500.0
188,Peugeot 2008 Allure Toit Cielo Blanc Nacré,130 000 km,2017,Manuelle,Traction,5 cv,Essence,39500.0
189,Mercedes-Benz Classe C Avantgarde,452 000 km,2008,Automatique,Propulsion,10 cv,Diesel,43000.0
190,MG One Luxury+,45 000 km,2024,Automatique,Traction,10 cv,Essence,
191,Honda CR-V,84 000 km,2023,Automatique,Traction,7 cv,Hybride,129000.0
192,Ford Focus Ghia,309 000 km,2011,Manuelle,Traction,6 cv,Essence,27000.0
193,Volkswagen Caddy Combi Confort,54 000 km,2024,Manuelle,Traction,6 cv,Essence,89000.0
194,KIA Rio 5p,77 000 km,2022,Automatique,Traction,6 cv,Essence,59500.0
195,Hyundai Tucson Executive,127 000 km,2020,Automatique,Traction,7 cv,Hybride,78000.0
196,Audi Q5 S-line,49 000 km,2022,Automatique,Intégrale,16 cv,Hybride,190000.0
197,Seat Leon Business,56 000 km,2022,Manuelle,Traction,6 cv,Essence,67900.0
198,Peugeot 208 Access,112 000 km,2017,Manuelle,Traction,5 cv,Essence,27500.0
199,Toyota Land Cruiser 76,40 000 km,2021,Manuelle,Intégrale,11 cv,Diesel,200000.0
200,Peugeot 208 Access Like,127 000 km,2016,Manuelle,Traction,5 cv,Essence,29900.0
201,Audi Q3 Sportback S-Line,113 000 km,2021,Automatique,Traction,9 cv,Essence,109000.0
202,Mahindra Pick-up SC chassis cabine,248 000 km,2020,Manuelle,Propulsion,7 cv,Diesel,45000.0
203,Citroën C3 Feel,154 000 km,2017,Manuelle,Traction,4 cv,Essence,31500.0
204,Land Rover Range Rover Evoque Dynamic,71 000 km,2019,Automatique,Intégrale,9 cv,Hybride,125000.0
205,Mercedes-Benz Classe E AMG+,55 000 km,2020,Automatique,Intégrale,12 cv,Hybride,177000.0
206,Mahindra KUV 100 K8,37 000 km,2023,Manuelle,Traction,5 cv,Essence,35000.0
207,BMW Série 1 3p Access Ecran,194 000 km,2013,Manuelle,Propulsion,7 cv,Essence,39900.0
208,Land Rover Range Rover Evoque R-Dynamic S,71 000 km,2022,Automatique,Intégrale,8 cv,Diesel,198000.0
209,Volkswagen Golf 7 Smartline,230 000 km,2014,Manuelle,Traction,5 cv,Essence,42500.0
210,Hyundai Grand i10 High Grade,137 000 km,2020,Automatique,Traction,5 cv,Essence,41000.0
211,Jeep Renegade Limited,169 000 km,2015,Manuelle,Traction,6 cv,Diesel,49900.0
212,Audi A5 Sportback S-Line,121 000 km,2021,Automatique,Traction,8 cv,Essence,120000.0
213,Mercedes-Benz GLC Coupé AMG,128 000 km,2017,Automatique,Intégrale,9 cv,Diesel,126900.0
214,MG HS Luxury,154 000 km,2021,Automatique,Traction,10 cv,Essence,61900.0
215,GWM Haval Jolion,9 000 km,2024,Automatique,Traction,9 cv,Essence,92000.0
216,Peugeot Landtrek Double Cabine Business,111 000 km,2022,Manuelle,Intégrale,6 cv,Diesel,64000.0
217,Volkswagen Golf 8 Life,83 000 km,2022,Manuelle,Traction,6 cv,Essence,77000.0
218,Mercedes-Benz CLA Progressive,111 000 km,2017,Automatique,Intégrale,12 cv,Essence,77000.0
219,Mahindra XUV 300 W6,51 000 km,2023,Manuelle,Traction,6 cv,Essence,48900.0
220,Mercedes-Benz GLC,33 000 km,2021,Automatique,Intégrale,16 cv,Essence,170000.0
221,Audi Q5 Ambition Luxe,144 000 km,2009,Automatique,Intégrale,13 cv,Essence,49500.0
222,BYD Tang EV,27 000 km,2024,Automatique,Intégrale,9 cv,Electrique,209500.0
223,Volkswagen ID.4 Prime,0 km,2025,Automatique,Intégrale,5 cv,Electrique,125000.0
224,Ford Kuga Trend,70 000 km,2022,Automatique,Traction,8 cv,Essence,73500.0
225,KIA Sportage EX,92 000 km,2023,Manuelle,Traction,7 cv,Hybride,125000.0
226,Jaguar F-Pace Pure,112 000 km,2017,Manuelle,Propulsion,10 cv,Diesel,115000.0
227,Peugeot 308 Allure,233 000 km,2012,Manuelle,Traction,6 cv,Essence,27000.0
228,BMW X5 Pack M,194 000 km,2015,Automatique,Intégrale,15 cv,Diesel,109000.0
229,Volkswagen Passat Confortline,269 000 km,2011,Manuelle,Traction,7 cv,Essence,42500.0
230,Mercedes-Benz Classe C Business,258 000 km,2014,Automatique,Propulsion,9 cv,Essence,65000.0
231,Mercedes-Benz GLB AMG,104 000 km,2022,Automatique,Traction,9 cv,Essence,150000.0
232,Audi A3 S-Line,198 000 km,2018,Automatique,Traction,6 cv,Diesel,80000.0
233,Ford Fusion SE,225 000 km,2016,Manuelle,Traction,9 cv,Essence,36000.0
234,Volkswagen Golf 7 R-Line,155 000 km,2020,Automatique,Traction,6 cv,Essence,79900.0
235,Hyundai Tucson,147 000 km,2020,Automatique,Traction,8 cv,Essence,69900.0
236,Dacia Sandero,152 000 km,2017,Manuelle,Traction,4 cv,Essence,23500.0
237,BMW Série 1 Access Ecran,294 000 km,2012,Manuelle,Propulsion,6 cv,Diesel,42900.0
238,Citroën Jumper 30 L2H2 11.5 m3,158 000 km,2022,Manuelle,Traction,7 cv,Diesel,69900.0
239,Isuzu Mu-x,38 000 km,2017,Automatique,Intégrale,8 cv,Diesel,145000.0
240,BMW X5,211 000 km,2010,Automatique,Intégrale,19 cv,Essence,75000.0
241,Wallyscar 719 Atmos,67 000 km,2023,Manuelle,Traction,7 cv,Essence,31000.0
242,Mercedes-Benz Classe C AMG,11 000 km,2024,Automatique,Propulsion,9 cv,Hybride,225000.0
243,Mercedes-Benz Classe GL,94 000 km,2016,Automatique,Intégrale,16 cv,Diesel,180000.0
244,Audi A3,194 000 km,2014,Manuelle,Traction,5 cv,Essence,48500.0
245,Mercedes-Benz Classe C AMG,221 000 km,2013,Automatique,Traction,11 cv,Essence,64000.0
246,Mercedes-Benz GLE Coupé AMG,87 000 km,2017,Automatique,Intégrale,23 cv,Essence,260000.0
247,Suzuki Jimny 3 portes GL,24 000 km,2023,Automatique,Intégrale,6 cv,Essence,95000.0
248,Mercedes-Benz Classe C,193 000 km,2009,Manuelle,Traction,9 cv,Essence,45000.0
249,Ford Kuga Titanium,78 000 km,2022,Automatique,Traction,10 cv,Essence,90000.0
250,Peugeot 4008,165 000 km,2014,Manuelle,Intégrale,9 cv,Essence,39900.0
251,Mercedes-Benz Classe C AMG,91 000 km,2022,Automatique,Propulsion,9 cv,Hybride,188000.0
252,Mercedes-Benz Classe C AMG,116 000 km,2020,Automatique,Propulsion,9 cv,Essence,129000.0
253,Land Rover Range Rover Evoque,29 000 km,2021,Automatique,Traction,7 cv,Hybride,205000.0
254,Porsche Cayenne,230 000 km,2008,Automatique,Traction,21 cv,Essence,65500.0
255,BMW Série 1 Pack M,114 000 km,2018,Manuelle,Traction,7 cv,Essence,85000.0
256,Audi Q5 S-line,258 000 km,2013,Automatique,Intégrale,10 cv,Diesel,72000.0
257,Audi E-tron Sportback,32 000 km,2020,Automatique,Intégrale,12 cv,Electrique,159000.0
258,Audi Q5,370 000 km,2008,Automatique,Intégrale,15 cv,Diesel,60000.0
259,Mercedes-Benz EQS Berline,51 000 km,2022,Automatique,Propulsion,8 cv,Electrique,350000.0
260,Mazda CX-5,300 000 km,2014,Automatique,Intégrale,9 cv,Essence,45000.0
261,Peugeot Boxer Fourgon,133 000 km,2021,Manuelle,Traction,7 cv,Diesel,70000.0
262,Audi E-tron,55 000 km,2019,Automatique,Intégrale,12 cv,Electrique,170000.0
263,Mercedes-Benz Classe C AMG,55 000 km,2020,Automatique,Propulsion,8 cv,Essence,139000.0
264,Jeep Renegade Longitude,105 000 km,2020,Manuelle,Traction,8 cv,Essence,70000.0
265,Mercedes-Benz EQB,9 000 km,2023,Automatique,Traction,8 cv,Electrique,185000.0
266,Volkswagen Tiguan,220 000 km,2013,Automatique,Intégrale,9 cv,Diesel,64000.0
267,KIA Stonic GT-Line,56 000 km,2021,Automatique,Traction,6 cv,Hybride,79000.0
268,BMW X5 Pack M,70 000 km,2016,Automatique,Traction,plus de 48 cv,Essence,297000.0
269,Toyota Prado,97 000 km,2014,Manuelle,Traction,11 cv,Essence,178000.0
270,KIA Stonic,91 000 km,2021,Manuelle,Traction,6 cv,Hybride,69000.0
271,Hyundai Veloster,158 000 km,2017,Automatique,Traction,8 cv,Essence,42000.0
272,Jeep Compass S MODEL,37 000 km,2023,Automatique,Traction,8 cv,Essence,145000.0
273,Peugeot Rifter,195 000 km,2020,Manuelle,Traction,5 cv,Diesel,82000.0
274,Volkswagen Passat R-Line DSG,190 000 km,2021,Automatique,Traction,8 cv,Essence,89000.0
275,BMW Série 4 Coupé Confort Luxury Line,178 000 km,2014,Automatique,Propulsion,10 cv,Essence,73000.0
276,BMW Série 1,112 000 km,2018,Manuelle,Traction,7 cv,Essence,72000.0
277,Hummer H3,96 000 km,2007,Automatique,Intégrale,19 cv,Essence,100000.0
278,Land Rover Defender 110,97 000 km,2020,Automatique,Traction,12 cv,Diesel,295000.0
279,KIA Sportage,405 000 km,2013,Automatique,Intégrale,11 cv,Diesel,46000.0
280,KIA Sportage,112 000 km,2020,Automatique,Traction,8 cv,Essence,80000.0
281,KIA Sportage GT-Line,83 000 km,2020,Automatique,Intégrale,11 cv,Essence,98000.0
282,Volkswagen Golf Plus Sportsvan Join,72 000 km,2018,Manuelle,Traction,6 cv,Essence,79000.0
283,Land Rover Defender 110 LXV,115 000 km,2014,Manuelle,Traction,8 cv,Diesel,200000.0
284,Mercedes-Benz Classe S,112 000 km,2007,Automatique,Traction,19 cv,Essence,62000.0
